idea_tier,none_top5_rate_pct,none_n,low_top5_rate_pct,low_n,mid_top5_rate_pct,mid_n,high_top5_rate_pct,high_n,high_over_none_ratio
exceptional,16.8,369,38.3,230,33.6,229,39.5,281,2.4
strong,7.0,1402,13.2,567,13.8,550,22.9,542,3.3
fair,1.9,977,5.2,172,6.0,182,14.1,142,7.2
limited,4.8,147,0.0,15,8.7,23,10.0,20,2.1
